timestamp;accel.x;accel.y;accel.z
1464530721057;11.51005;-5.3011665;11.023705
1464530721104;-9.503886;-6.951505;-5.298769
1464530721140;-24.008926;-24.063686;-2.6565452
1464530721174;-25.019045;-21.799322;-0.031628013
1464530721209;-5.756888;-17.162172;16.172527
1464530721244;-10.536531;-16.819344;7.716198
1464530721278;-10.554397;-13.937609;7.7249894
1464530721312;1.1756525;-11.40332;12.1710005
1464530721352;-11.560675;-7.479511;-2.529773
1464530721386;-7.2049966;-6.1259584;0.074177265
1464530721420;-0.57894707;-5.3196187;2.6308136
1464530721455;6.2475452;-1.8082509;4.37044
1464530721491;-4.9647303;-4.4829187;1.4210966
1464530721526;-2.143929;-5.040882;1.4065077
1464530721561;2.9646077;-2.761804;6.136915
1464530721595;-6.6074452;-7.8351145;2.1947198
1464530721629;-5.7313876;-9.614447;3.0839229
1464530721664;1.2815871;-7.760458;4.533728
1464530721702;-10.835116;-6.5788608;-2.1384993
1464530721737;-9.530985;-9.413456;3.3454065
1464530721771;-3.0381346;-8.739412;1.8139262
1464530721805;-0.39015818;-5.9804645;4.353462
1464530721841;-8.386037;-2.8809233;4.0827456
1464530721875;-9.3532715;-6.5955076;8.844618
1464530721910;-9.160177;-7.77206;4.135246
1464530721944;-0.5844393;-3.5275567;4.5512457
1464530721980;-7.9358516;-0.5899644;1.7785621
1464530722020;-5.684789;-7.2947693;4.419138
1464530722054;-4.754592;-3.7076867;0.99673843
1464530722089;0.54187584;-4.8539963;3.382393
1464530722124;61.260643;61.540894;-31.955334
1464530722172;-12.507082;-19.412186;22.679163
1464530722206;-7.3744125;-19.81603;31.727333
1464530722256;-4.5899153;4.4913726;40.936844
1464530722291;21.56895;-66.72717;9.258748
1464530722326;77.74445;156.13217;-103.741486
1464530722359;63.478115;100.74213;175.30203
1464530722393;-82.59065;-172.02219;-91.37227
1464530722429;85.40317;-9.986546;78.13822
1464530722464;21.268154;20.422588;-25.744724
1464530722503;-51.070244;55.684624;-98.83039
1464530722536;-42.99219;10.193716;-13.397711
1464530722572;-30.131943;2.4474568;15.04014
1464530722606;-8.537195;-9.309202;16.256771
1464530722656;-6.5737944;-89.85625;-7.8401284
